whale_ID,sex,class,pregnant,mom_calf,mom_calf_pair,datetime,month,year,season,seasonal_duration,Lab,Aircraft,Flight,Focal_Length,Sw,Iw,TL.mean,TL.lower,TL.upper,TL.HPDwidth,TL.var,TL.cv,BAI.mean,BAI.lower,BAI.upper,BAI.HPDwidth,BAI.var,BAI.cv
whale123,F,Lactating Female,,mom,19,2/26/18 15:34,2,2018,season 2,117.6491435,FC,I1Pro,180226_F04,25,17.3,4608,12.54505339,12.36170216,12.72646913,0.364766973,0.008563976,2.612771754,25.32882251,25.04331654,25.61614006,0.57282352,0.021375028,0.577215982
whale124,unknown,Calf,,calf,19,2/26/18 15:44,2,2018,season 2,117.6560995,FC,I1Pro,180226_F05,25,17.3,4608,7.66244728,7.549509646,7.781594086,0.232084441,0.003425704,2.114419437,25.33007893,25.16739848,25.49377717,0.326378685,0.006881271,0.327489807
whale125,unknown,Calf,,calf,20,2/26/18 16:41,2,2018,season 2,117.6956366,FC,I1Pro,180226_F06,25,17.3,4608,7.785920797,7.623820076,7.957809964,0.333989888,0.007220676,3.045326977,25.15467824,24.83707262,25.48157395,0.644501338,0.02694281,0.6525333
whale126,unknown,Calf,,calf,21,2/26/18 17:19,2,2018,season 2,117.7217014,FC,I1Pro,180226_F07,25,17.3,4608,8.070985347,7.956830135,8.18651009,0.229679954,0.003388494,2.048991167,27.80895267,27.75579058,27.8622463,0.106455715,0.000725145,0.096833959
whale127,F,Juvenile Female,,,NA,3/6/18 15:27,3,2018,season 2,125.6438657,FC,I1Pro,180306_F11,25,17.3,4608,10.63663875,10.50038925,10.76695383,0.266564577,0.00460439,2.080577341,25.42660812,25.26285921,25.59021513,0.327355921,0.006921226,0.327192297
whale128,unknown,Juvenile Unknown,,,NA,3/6/18 16:10,3,2018,season 2,125.67375,FC,I1Pro,180306_F12,25,17.3,4608,8.037416938,7.927637446,8.148557748,0.220920303,0.00315241,1.980446289,26.58349022,26.52297605,26.64331986,0.120343803,0.000923611,0.114322729
whale129,unknown,Calf,,calf,29,3/17/19 18:48,3,2019,season 3,136.7837037,MaRRS,LemHex,190317_L_F2,35,23.5,6000,8.957031707,8.678384793,9.23676084,0.558376048,0.020094489,4.736487818,24.11047181,23.96041775,24.25822307,0.297805317,0.0057384,0.31418807
whale130,unknown,Calf,,calf,38,3/5/19 18:10,3,2019,season 3,124.7574653,MaRRS,LemHex,190305_L_F2,35,23.5,6000,8.760123871,8.426002924,9.5511627,1.125159776,0.075421873,9.278836701,27.06493573,26.69983075,27.42531521,0.725484463,0.034138999,0.6826819
whale131,F,Lactating Female,,mom,30,3/26/19 13:27,3,2019,season 3,145.5608449,MaRRS,LemHex,190326_L_F1,35,23.5,6000,11.99370758,11.77088955,12.23129543,0.46040588,0.013860476,3.399478852,21.9138789,21.66585643,22.15102448,0.485168046,0.015123944,0.561194321
whale132,unknown,Mature Unknown,,,NA,2/24/19 21:28,2,2019,season 3,115.8950231,MaRRS,LemHex,190224_L_F2,35,23.5,6000,11.91547287,11.25911177,13.0520513,1.792939526,0.449770789,19.42853177,24.53488013,24.17583004,24.89610947,0.720279428,0.03369656,0.74818474
whale133,unknown,Mature Unknown,,,NA,3/17/19 19:05,3,2019,season 3,136.7953472,MaRRS,LemHex,190317_L_F3,35,23.5,6000,11.48483661,11.20440107,11.76793262,0.56353155,0.020473022,4.222100521,27.21612529,27.10632376,27.32728854,0.220964774,0.003152541,0.206302319
whale134,F,Lactating Female,,mom,40,3/5/19 19:59,3,2019,season 3,124.8328125,MaRRS,LemHex,190305_L_F4,35,23.5,6000,12.7941568,12.61603542,12.96246647,0.346431054,0.014131819,3.323481046,22.302509,22.08393561,22.5146755,0.430739886,0.011913116,0.489394358
whale135,unknown,Calf,,calf,34,2/26/19 13:46,2,2019,season 3,117.5737963,MaRRS,LemHex,190226_L_F2,35,23.5,6000,8.594280138,8.382930402,8.815964597,0.433034195,0.01225775,3.776596885,26.80834273,26.72895528,26.88836565,0.159410373,0.001589803,0.148731054
whale136,unknown,Juvenile Unknown,,,NA,3/5/19 19:59,3,2019,season 3,124.8328125,MaRRS,LemHex,190305_L_F4,35,23.5,6000,10.78812635,10.40197935,11.16504603,0.763066689,0.038081066,5.94130076,25.24951978,24.86868107,25.64545665,0.776775577,0.03944859,0.786615718
whale137,F,Lactating Female,,mom,31,3/26/19 13:27,3,2019,season 3,145.5608449,MaRRS,LemHex,190326_L_F1,35,23.5,6000,14.62249005,14.46397313,14.78652539,0.322552263,0.006943268,2.179070603,23.59226556,23.35189735,23.84538726,0.493489906,0.015751759,0.531979483
whale138,unknown,Calf,,calf,35,2/26/19 20:37,2,2019,season 3,117.8595602,MaRRS,LemHex,190226_L_F4,35,23.5,6000,8.572512347,8.227130341,8.91429387,0.687163529,0.041294478,6.940518742,25.67354045,25.16846513,26.19685458,1.028389454,0.067971046,1.015491315
whale139,unknown,Juvenile Unknown,,,NA,3/26/19 13:56,3,2019,season 3,145.5809606,MaRRS,LemHex,190326_L_F2,35,23.5,6000,10.54788527,10.4102659,10.68704282,0.276776912,0.005020587,2.181697598,26.30481089,25.97306165,26.63941538,0.666353737,0.028364663,0.640255958
whale140,unknown,Calf,,calf,31,3/26/19 13:27,3,2019,season 3,145.5608449,MaRRS,LemHex,190326_L_F1,35,23.5,6000,9.102232387,8.914401343,9.305321469,0.390920126,0.009809568,3.282849546,24.24131521,23.96350527,24.5135541,0.550048827,0.019562618,0.576975417
whale141,unknown,Calf,,calf,40,3/5/19 19:59,3,2019,season 3,124.8328125,MaRRS,LemHex,190305_L_F4,35,23.5,6000,8.444492412,8.282445221,8.616753378,0.334308157,0.007717329,3.023059814,23.69769901,23.51463796,23.88625872,0.371620763,0.008882178,0.397698146
whale142,F,Lactating Female,,mom,34,2/26/19 13:46,2,2019,season 3,117.5737963,MaRRS,LemHex,190226_L_F2,35,23.5,6000,12.82933908,12.6207446,13.02762413,0.406879533,0.014120755,3.317621372,26.52425838,25.96169956,27.10967641,1.14797685,0.084984562,1.099073583
whale143,unknown,Mature Unknown,,,NA,3/26/19 13:56,3,2019,season 3,145.5809606,MaRRS,LemHex,190326_L_F2,35,23.5,6000,11.60434507,11.46266634,11.75014763,0.287481291,0.005514208,2.179873396,28.76550426,28.42963872,29.12437464,0.694735922,0.031294557,0.614982013
whale144,unknown,Juvenile Unknown,,,NA,2/22/19 15:13,2,2019,season 3,113.6344907,MaRRS,LemHex,190222_L_F1,35,23.5,6000,9.776146771,9.489518386,10.71411293,1.224594543,0.091191266,9.658123777,24.90183332,24.75050427,25.05221882,0.30171455,0.005917043,0.308902222
