X,Subject,TL_mean,RB_mean,TL_sd,RB_sd,TL_lower,RB_lower,TL_upper,RB_upper
1,BB180304_L_F1-03,8.98264607762358,1.51959223517613,0.0745076249287036,0.0215053247067864,8.8363930699919,1.47746845472735,9.12888138079022,1.56183478535983
2,BB180304_L_F1-04-45,8.23942845721449,1.11105160514813,0.448888429571464,0.0635189337189652,7.35891732776443,0.989788311935211,9.11784554314489,1.2394080637443
3,BB180304_L_F3-07,7.97373102433464,1.17060131064,0.152826868354485,0.026837883570607,7.68257967832216,1.11838391316508,8.2823674108572,1.22344766643676
4,BB180304_L_F3-09,8.51087750492967,1.30635189199828,0.791067653816576,0.122707759434806,6.95245384641999,1.06806853755195,10.05057072038,1.54969581090813
5,BB180304_L_F4-11,8.80753797603084,1.3903660372118,0.68343234630569,0.108180540863271,7.48251625000581,1.17813355125409,9.9913445031047,1.57694149056707
6,BB180307_L_F7-01,6.95029476932871,0.987573343110755,0.457098280105118,0.0713582401782592,6.06014339096311,0.848501055723379,7.84673112288699,1.12853087528065
7,BB190225_A_F3-01-54,8.00489393066955,1.13918160059252,0.137490815170633,0.0228382180708334,7.73584512209904,1.09482744254793,8.27913360811553,1.18460134552886
8,BB190225_A_F3-02-55,8.81224286180779,1.14863988422645,0.220123417256467,0.0330626121667805,8.3635882250741,1.08280224483459,9.23061744919215,1.2124697226173
9,BB190226_A_F1-01,7.39054867853106,0.852370672939762,0.788999545361423,0.0916128246484366,5.71500906120441,0.6555644094094,8.80405000127573,1.01431988083036
10,BB190226_A_F2-02-56&18,6.59759108341374,1.02464037746387,0.133254259885565,0.0289492019440815,6.33849115713935,0.967895043204257,6.86195692947917,1.08125326616143
11,BB190226_A_F3-03-53&18,6.68438641161177,0.77827472110703,0.257215285982935,0.0319115741633654,6.18404418832716,0.71498114951062,7.19526251243141,0.840436378181373
12,BB190228_A_F5-03-52&53,8.62099069690174,1.28909280490533,0.139118970665057,0.0244219885965177,8.34867124792938,1.24192795447509,8.89749707119678,1.33789964399522
13,BB190228_A_F5-04,9.32264423521215,1.50041679577762,0.193614505753241,0.0367156511918849,8.93906704930873,1.42911944482835,9.69918850226867,1.57332804037982
14,BB190228_A_F5-05,8.02768110086229,1.17971171216645,0.212916866701206,0.0346993586106065,7.60400302474096,1.11302512957624,8.4401110804254,1.24917351004185
15,BB190228_A_F8-06-55&52,7.06386161560437,0.931798189246837,0.141148800698206,0.0213992875418212,6.79125487614889,0.891142730562498,7.3464901753528,0.97482160431797
16,BB190301_A_F1-01,7.46480881956134,1.09769568809667,0.116489379230237,0.0215417649701189,7.23934722181007,1.05520011815438,7.69586938063218,1.14001456398759
17,BB190302_A_F2-02-48,8.5769822927286,1.21522842966016,0.252981928131363,0.038389491606555,8.07908348996191,1.13725354429221,9.07442715576804,1.28840943779341
18,BB190302_A_F4-03-52,8.099449296925,1.19148684875048,0.231933814994059,0.0368591287418151,7.65081286775931,1.11782670211886,8.56132115638905,1.26256353793455
19,BB190305_A_F3-01,5.24906052792752,0.737658739186016,0.243434501861962,0.0353303265720588,4.77555005659438,0.66776522385013,5.72931314950102,0.806400842887952
20,BB190306_A_F6-01,7.84476594042018,1.19212696201566,0.169124952085144,0.0316321495970453,7.51717805377365,1.1291535264361101,8.17908908887081,1.25298564852813
21,BB190306_A_F6-02,6.81859621359794,1.00280108223241,0.103822271449276,0.0202116236353372,6.62197052177501,0.963548144510747,7.03040680504521,1.04252635870791
22,BB190306_A_F6-03,7.64334451605833,1.19051507888037,0.159172264572756,0.0313572005883992,7.32543151981459,1.12825289269055,7.9499318586123104,1.25101925790968
23,BB190306_A_F6-04,8.07087983393262,1.17257474191597,0.121184731121122,0.0220823938440066,7.83512962607309,1.12976229371661,8.31071641394616,1.21613651089462
24,BB190306_A_F9-05,5.55013048364399,0.740783613845648,0.16412914421447,0.0259204644525022,5.22672235368382,0.690805009551761,5.87373858454047,0.792719893038148
25,BB190309_A_F1-01-52,7.22407044281971,1.08901439548855,0.250487018558511,0.0394371924161795,6.7286267044403,1.01088648017632,7.71610313513659,1.16593124888295
26,BB190310_A_F1-01,7.359432116491,1.14389316371886,0.183602136230068,0.0327215613113626,7.00363574839603,1.08012380095001,7.72145483268148,1.20814295620111
27,BB190310_A_F1-02,7.15312371364737,1.1297657308874,0.22335909388013,0.0375050069340505,6.7056096950867,1.05784764436962,7.58385553603953,1.2053689201544
