"","label","expectedTL","mean","sd","lower","upper"
"1","beta1",NA,-0.223383995381012,0.160697918052504,-0.537523444586315,0.103084323505978
"2","beta2",NA,0.175201645971733,0.0208571143835968,0.132815498731282,0.216006480046477
"3","5.24906052792752",5.24906052792752,0.696260048917142,0.0538063989419416,0.589231301567351,0.803011331479722
"4","6.24906052792752",6.24906052792752,0.871461694888874,0.0352907689996237,0.801021352852464,0.941773986965646
"5","7.24906052792752",7.24906052792752,1.04666334086061,0.0215820904198623,1.00371528025258,1.08955903761054
"6","8.24906052792752",8.24906052792752,1.22186498683234,0.023583327119351,1.17483832297187,1.26805098878817
"7","9.24906052792752",9.24906052792752,1.39706663280407,0.0389435289870659,1.32018393229141,1.47418715569969
